0;2405
0;223
0;18499
0;3699
0;15672
0;7143
1;5198
1;18021
1;14868
2;5054
2;15469
2;17633
3;15817
4;1391
4;4449
4;1704
4;15003
5;4951
6;19353
6;2417
6;3933
7;12789
7;6163
7;8257
7;1001
7;7719
7;11193
8;1994
8;16557
8;19936
8;8553
8;2521
8;16757
9;10876
9;14096
9;3150
9;6368
10;12087
10;16545
10;7148
10;12190
11;3422
11;7368
11;10564
11;13610
12;2806
12;1859
12;1105
13;4972
13;6938
14;6510
14;14232
14;19526
14;4346
14;13905
14;14221
14;1237
14;8151
15;647
15;8622
15;6140
15;11108
16;13261
16;7547
16;2353
16;10581
17;15535
17;8591
17;10243
17;10136
17;14958
17;5704
18;18211
18;16117
18;7274
18;4444
19;15181
19;19060
20;5446
20;2833
20;6477
20;11707
21;13101
21;19867
21;13017
22;10389
22;13957
22;5100
23;7125
23;4874
24;7109
25;18336
25;17481
25;8611
26;5994
26;7764
26;12654
26;2915
27;1472
27;13174
27;18905
27;2779
27;6551
27;6198
28;15106
28;17627
28;1438
29;15696
29;7676
29;4749
29;10013
29;6047
30;12598
31;4768
31;8302
31;1640
32;5598
32;15431
32;8474
32;12333
32;18186
32;16808
32;3149
32;11914
33;386
33;9417
33;3398
33;11063
33;968
33;363
34;9477
34;1685
34;12295
34;12169
35;4231
35;4854
35;3955
35;9660
35;13513
36;3879
36;3850
36;18346
37;746
37;2271
37;19384
37;14702
37;2997
37;14680
38;18624
39;3185
39;4504
39;10397
39;17030
39;14694
40;17534
40;2872
41;18523
41;8884
41;8039
41;9317
42;10865
42;13528
42;7377
42;11746
43;9893
43;17018
43;968
43;12150
43;7318
43;6901
43;10089
43;4176
43;14770
43;17309
44;6431
45;9749
45;6055
45;3092
45;11868
45;14682
45;3579
45;6917
45;937
46;19705
47;19054
47;4146
47;8585
47;3753
47;11294
47;17575
47;14461
47;19712
48;19262
48;16600
48;11672
48;8663
48;16547
48;2870
48;18104
48;18435
49;8424
49;16994
49;1527
50;3386
50;14519
50;16054
50;17084
50;16199
50;12073
51;8186
51;19418
51;6141
51;8750
52;11740
52;18939
52;10844
52;14498
52;4730
53;7383
53;18958
53;19815
53;7697
53;7534
53;16501
54;13815
54;5753
55;7728
55;14668
55;8575
56;16061
56;9487
56;11097
57;8695
57;137
57;17556
57;2459
57;14499
57;17072
57;13781
58;15725
58;13441
58;19627
58;2234
58;2562
58;3000
59;2252
59;175
59;10852
59;15434
60;10143
60;1318
60;14389
60;4839
61;1338
61;2734
61;1791
61;7448
62;13503
62;18372
62;2271
62;12501
62;14536
63;15820
63;7998
63;4603
63;7577
63;974
63;18322
64;1781
64;12239
64;6701
64;19443
65;3431
65;1736
65;12359
65;13053
66;9800
66;9798
66;1833
66;12203
66;12507
66;3336
67;18292
68;16721
68;12378
68;19612
68;5651
68;15661
69;17140
69;9161
69;10775
69;1541
69;3717
69;13693
69;5880
69;3252
70;2562
70;2262
70;12196
70;19554
70;5927
71;3487
71;8343
71;1725
72;15193
72;11704
72;13693
73;13363
74;4670
74;4489
74;14128
74;15782
74;16470
74;9303
75;14633
76;15089
76;1728
77;9042
77;2406
77;4117
77;12585
77;12079
78;6675
78;18383
78;8409
78;1246
78;16357
78;4383
79;11049
79;13520
79;11994
79;17125
79;2020
80;8712
80;631
81;961
81;6646
81;9374
81;10983
81;713
81;18214
82;6879
82;1203
82;7619
82;1214
83;7515
83;16911
83;4969
83;15232
83;7482
83;5445
84;4116
84;12513
84;6965
84;1775
84;15893
84;18652
84;13084
84;15984
84;3229
85;13281
85;14183
86;11514
86;15570
86;8793
86;5035
86;3367
87;12313
87;3941
87;4178
87;14187
87;5910
88;15484
88;698
88;17196
88;2477
89;1555
89;5399
